"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage"
"PLAYA DE LAGA","312360000","BLZ","fishing","inconclusive","STP","SAO TOME",2024-01-15 16:12:17,4,2024-02-05 06:04:43,4,20.5,"TEMA",TRUE,6.66666666666667,"GHA",FALSE,"FCWC, ACAP, NAMMCO, IWC, ICCAT",FALSE,NA,FALSE,NA,NA,NA
"ATLANTIC GLORY","312864000","BLZ","fishing","tuna_purse_seines","GHA","TEMA",2024-03-07 14:16:30,4,2024-03-08 06:13:32,4,0.6,"TEMA",TRUE,107.094444444444,"GHA",FALSE,"ICCAT, ACAP, IWC, FCWC, NAMMCO",FALSE,NA,FALSE,NA,NA,NA
"ATLANTIC GLORY","312864000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-01-09 13:51:46,4,2024-01-10 10:53:54,4,0.9,"TEMA",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
"F/V VIA AVENIR","228128000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-02-24 09:22:26,4,2024-03-22 11:16:37,4,27,"TEMA",TRUE,41.5847222222222,"CIV",TRUE,"FCWC, ICCAT, ACAP, IWC, NAMMCO",FALSE,NA,FALSE,NA,NA,NA
"GUOJIN607","201908119","ALB","other","other","GHA","TEMA",2024-01-18 17:15:50,3,2024-01-22 03:50:59,3,3.4,"TEMA",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
"F/V VIA MISTRAL","228167000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-01-09 22:36:08,3,2024-03-06 07:03:26,4,56.3,"TEMA",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
"","412186000","CHN","fishing","trawlers","CIV","ABIDJAN",2023-07-01 10:08:12,3,2024-01-17 20:20:25,2,200.4,"TEMA",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
"ATLANTIC PRINCE","312867000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-01-14 09:16:27,4,2024-01-15 16:01:15,4,1.3,"TEMA",TRUE,20.8333333333333,"GHA",FALSE,"NAMMCO, ICCAT, FCWC, ACAP, IWC",FALSE,NA,FALSE,NA,NA,NA
NA,"412331032","CHN","fishing","drifting_longlines","SEN","DAKAR",2023-10-16 11:57:49,4,2024-04-12 07:23:16,3,178.8,"TEMA",TRUE,207.143055555555,NA,TRUE,"ICCAT, IWC, NAMMCO, ACAP",FALSE,NA,TRUE,64,NA,NA
"","412568282","CHN","fishing","trawlers","GHA","TEMA",2024-02-20 14:49:59,4,2024-02-20 20:50:46,4,0.3,"TEMA",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
"","412568282","CHN","fishing","trawlers","GHA","TEMA",2024-01-19 18:10:25,4,2024-02-17 22:48:21,4,29.2,"TEMA",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,3,NA,NA
"","412568282","CHN","fishing","trawlers","GHA","TEMA",2024-02-29 14:39:01,4,2024-03-30 01:09:57,3,29.4,"TEMA",TRUE,710.347222222222,"GHA",FALSE,"NAMMCO, IWC, ICCAT, ACAP, FCWC",FALSE,NA,TRUE,1,NA,NA
